,SSB-hard,NINCO,iNaturalist,Texture,OpenImage_O,AVG,Near-OOD AVG,Far-OOD AVG
MSP,74.59 / 72.09,56.86 / 79.95,43.39 / 88.41,60.96 / 82.43,49.98 / 84.86,57.16 / 81.55,65.73 / 76.02,51.44 / 85.23
ODIN,76.83 / 71.74,68.16 / 77.77,35.96 / 91.17,49.24 / 89.00,46.67 / 88.23,55.37 / 83.58,72.50 / 74.76,43.96 / 89.47
MDS,95.19 / 43.92,91.86 / 55.41,84.23 / 61.82,73.31 / 79.94,90.77 / 60.80,87.07 / 60.38,93.53 / 49.67,82.77 / 67.52
ReAct,77.55 / 73.03,55.82 / 81.73,16.72 / 96.34,29.64 / 92.79,32.58 / 91.87,42.46 / 87.15,66.69 / 77.38,26.31 / 93.67
KNN,83.36 / 62.57,58.39 / 79.64,40.80 / 86.41,17.31 / 97.09,44.27 / 87.04,48.83 / 82.55,70.88 / 71.11,34.13 / 90.18
VIM,80.41 / 65.54,62.29 / 78.63,30.68 / 89.56,10.51 / 97.97,32.82 / 90.50,43.34 / 84.44,71.35 / 72.09,24.67 / 92.68
DICE,77.96 / 70.13,66.90 / 76.01,33.37 / 92.54,44.28 / 92.04,47.83 / 88.26,54.07 / 83.80,72.43 / 73.07,41.83 / 90.95
ASH,72.08 / 76.77,62.71 / 81.48,21.20 / 95.83,26.20 / 94.98,41.41 / 90.97,44.72 / 88.01,67.40 / 79.13,29.60 / 93.93
GEN,75.77 / 72.90,54.88 / 81.78,25.46 / 92.76,42.88 / 88.84,34.68 / 89.61,46.73 / 85.18,65.33 / 77.34,34.34 / 90.40
EBO,75.34 / 74.46,59.37 / 80.57,29.50 / 91.95,46.00 / 88.89,39.17 / 89.14,39.17 / 85.00,67.36 / 77.52,38.22 / 89.99
SCALE,70.32 / 78.60,57.16 / 84.34,15.63 / 96.78,27.93 / 95.00,35.87 / 92.26,41.38 / 89.40,63.74 / 81.47,26.48 / 94.68
GradNorm,78.24 / 71.90,79.54 / 74.02,32.03 / 93.89,43.27 / 92.05,68.46 / 84.82,60.31 / 83.34,78.89 / 72.96,47.92 / 90.25
GradRect,88.12 / 69.85,86.39 / 75.45,69.67 / 86.58,85.09 / 80.47,77.24 / 82.62,81.30 / 78.99,87.26 / 72.65,77.33 / 83.22
FInD(p=1),73.66 / 73.67,55.81 / 80.70,41.97 / 87.59,62.18 / 78.14,49.35 / 83.68,56.59 / 80.76,64.74 / 77.19,51.17 / 83.14
FInD(p=3),70.85 / 77.88,54.95 / 83.19,29.22 / 92.75,62.55 / 77.22,46.88 / 85.96,52.89 / 83.40,62.90 / 80.54,46.22 / 85.31
FInD(p=5),70.03 / 79.23,55.90 / 83.32,13.95 / 96.26,60.62 / 78.89,48.65 / 87.19,49.83 / 84.98,62.97 / 81.28,41.07 / 87.45
FInD(p=7),71.22 / 78.80,57.26 / 83.12,9.03 / 97.64,54.56 / 83.02,49.27 / 88.30,48.27 / 86.18,64.24 / 80.96,37.62 / 89.65
FInD(p=9),72.08 / 77.38,57.13 / 82.55,7.28 / 98.10,49.54 / 85.02,45.72 / 89.14,46.35 / 86.44,64.61 / 79.97,34.18 / 90.75